action-fantasy-case-1	Performance de rap de rue en clip musical
action-fantasy-case-2	Duel d’arts martiaux du chat noir dans le désert
action-fantasy-case-3	Duel de techniques de respiration en prise de vues réelles
action-fantasy-case-4	Séquence d’anime ultrarapide en 20 plans
action-fantasy-case-5	Regardez un mécanicien couvert de cambouis effectuer une réparation
action-fantasy-case-6	Court métrage de vengeance samouraï
action-fantasy-case-7	Animation de combat 3D stylisée
action-fantasy-case-8	Courte parodie comique au rythme effréné
action-fantasy-case-9	Combat tokusatsu de ninjas géants
action-fantasy-case-10	Séquence de dialogue d’anime japonais
action-fantasy-case-11	Court métrage original de bataille élémentaire de 15 secondes
action-fantasy-case-12	Animation d’œuf fantastique façon Fabergé
action-fantasy-case-13	Court métrage original de bataille élémentaire
action-fantasy-case-14	Duel cinématographique de science-fiction et de fantasy
action-fantasy-case-15	Séquence d’action continue en plan-séquence de 15 secondes
action-fantasy-case-16	Samouraï solitaire face au précipice
action-fantasy-case-17	Piqué aérien du dragon renégat
action-fantasy-case-18	Mêlée autour d’un mécha en apesanteur
action-fantasy-case-19	Scène de vol ultrarapide d’une fille chevauchant un dragon
action-fantasy-case-20	Court métrage original d’arts martiaux dans le désert de 15 secondes
action-fantasy-case-21	Séquence de frappe aérienne dans un canyon
action-fantasy-case-22	Superproduction de guerre épique hyperréaliste de 15 secondes
action-fantasy-case-23	La pause-café au bureau tourne mal
action-fantasy-case-24	Séquence d’action continue en plan-séquence de 15 secondes
action-fantasy-case-25	Cygne noir contre boxeur
action-fantasy-case-26	Décollage de Superman sur un sol qui se fissure
action-fantasy-case-27	Ombre d’épée dans la grotte des nuages
action-fantasy-case-28	Cité des dieux — vol de fantasy orientale en une seule prise
action-fantasy-case-29	Bataille de fantasy épique — séquence cinématographique de 10 secondes
action-fantasy-case-30	Transformation de dark fantasy au style oriental
action-fantasy-case-31	Piège fluvial au carburant avec un crocodile
action-fantasy-case-32	Duel électrique dans une arène souterraine
action-fantasy-case-33	Crocodile traîné par un avion sur la piste
action-fantasy-case-34	But de l’attaquant éclair en anime
action-fantasy-case-35	Vol de griffon dans la vallée aux fleurs sauvages
action-fantasy-case-36	Tir parthe de la cavalerie mongole
action-fantasy-case-37	Course du messager à dos de grenouille géante
action-fantasy-case-38	Siège zombie de la guerrière du tonnerre
action-fantasy-case-39	Tempête au temple du tigre blanc
action-fantasy-case-40	Mégalodon contre péniche de ravitaillement
action-fantasy-case-41	Renversement surprise de la géante dans l’arène
action-fantasy-case-42	Neutralisation des assaillants dans un entrepôt par un garde du corps
action-fantasy-case-43	Attaque du ver à la station arctique
action-fantasy-case-44	Montage du vagabond post-apocalyptique
cinematic-realism-case-1	Séquence documentaire sur le Japon moderne
cinematic-realism-case-2	Descente en longboard à la poursuite d’une ombre
cinematic-realism-case-3	Héroïne de guerre réveillée par un météore
cinematic-realism-case-4	Drame sur une île à maison capsule dans la brume
cinematic-realism-case-5	Révélation d’un samouraï sur une falaise en tempête
cinematic-realism-case-6	Juge de cannonball à la piscine VHS
cinematic-realism-case-7	Course sous l’orage en voiture noire vintage
cinematic-realism-case-8	Séquence du phare sur la côte en tempête
cinematic-realism-case-9	Évasion en buggy dans une tempête de sable
cinematic-realism-case-10	Bagarre télévisée Argentine-Espagne
cinematic-realism-case-11	Dérapage de rallye boueux en forêt
pov-fpv-case-1	Séquence de poursuite camouflée avec caméra pectorale
pov-fpv-case-2	Bande-annonce d’une Shanghai cyberpunk
pov-fpv-case-3	Prompt d’action cohérent d’un samouraï maudit
pov-fpv-case-4	Montage de fête au bord de la piscine Y2K filmée au caméscope
