action-fantasy-case-1	Actuación de rap callejero en videoclip
action-fantasy-case-2	Duelo de artes marciales del gato negro en el desierto
action-fantasy-case-3	Duelo de técnicas de respiración en acción real
action-fantasy-case-4	Secuencia de anime de alta velocidad con 20 cortes
action-fantasy-case-5	Observa cómo repara un mecánico cubierto de grasa
action-fantasy-case-6	Cortometraje de venganza samurái
action-fantasy-case-7	Animación de batalla 3D estilizada
action-fantasy-case-8	Corto de parodia cómica a ritmo rápido
action-fantasy-case-9	Batalla tokusatsu de ninjas gigantes
action-fantasy-case-10	Secuencia de diálogo de anime japonés
action-fantasy-case-11	Cortometraje original de batalla elemental de 15 segundos
action-fantasy-case-12	Animación de huevo de fantasía Fabergé
action-fantasy-case-13	Cortometraje original de batalla elemental
action-fantasy-case-14	Duelo cinematográfico de ciencia ficción y fantasía
action-fantasy-case-15	Secuencia de acción continua en plano único de 15 segundos
action-fantasy-case-16	Samurái solitario frente al acantilado
action-fantasy-case-17	Picado aéreo del dragón rebelde
action-fantasy-case-18	Secuencia de lucha por un mecha en gravedad cero
action-fantasy-case-19	Escena de vuelo ultrarrápido de una chica a lomos de un dragón
action-fantasy-case-20	Cortometraje original de artes marciales en el desierto de 15 segundos
action-fantasy-case-21	Secuencia de ataque aéreo en un cañón
action-fantasy-case-22	Superproducción bélica épica e hiperrealista de 15 segundos
action-fantasy-case-23	La pausa para el café en la oficina sale mal
action-fantasy-case-24	Secuencia de acción continua en plano único de 15 segundos
action-fantasy-case-25	Cisne negro contra boxeador
action-fantasy-case-26	Despegue de Superman al agrietarse el suelo
action-fantasy-case-27	Sombra de espada en la cueva de nubes
action-fantasy-case-28	Ciudad de los dioses: vuelo de fantasía oriental en una sola toma
action-fantasy-case-29	Batalla de fantasía épica: secuencia cinematográfica de 10 segundos
action-fantasy-case-30	Transformación de fantasía oscura al estilo oriental
action-fantasy-case-31	Trampa fluvial de combustible con cocodrilo
action-fantasy-case-32	Duelo eléctrico en una arena subterránea
action-fantasy-case-33	Cocodrilo arrastrado por un avión en la pista
action-fantasy-case-34	Gol del delantero relámpago en anime
action-fantasy-case-35	Vuelo de grifo por el valle de flores silvestres
action-fantasy-case-36	Disparo parto de la caballería mongola
action-fantasy-case-37	Carrera del mensajero a lomos de una rana gigante
action-fantasy-case-38	Asedio zombi de la guerrera del trueno
action-fantasy-case-39	Tormenta en el templo del tigre blanco
action-fantasy-case-40	Tiburón gigante contra barcaza de raciones
action-fantasy-case-41	La giganta da la sorpresa en la arena
action-fantasy-case-42	Guardaespaldas reduce atacantes en un almacén
cinematic-realism-case-1	Secuencia documental del Japón moderno
cinematic-realism-case-2	Descenso en longboard siguiendo una sombra
cinematic-realism-case-3	Heroína de guerra despertada por un meteorito
cinematic-realism-case-4	Drama en una isla con casa cápsula entre la niebla
cinematic-realism-case-5	Revelación de samurái en acantilado tormentoso
cinematic-realism-case-6	Juez del cannonball en piscina VHS
cinematic-realism-case-7	Carrera bajo la tormenta en coche negro vintage
cinematic-realism-case-8	Secuencia del faro en la costa tormentosa
cinematic-realism-case-9	Escape en buggy en plena tormenta de arena
pov-fpv-case-1	Secuencia de persecución camuflada con cámara en el pecho
pov-fpv-case-2	Vídeo promocional de una Shanghái ciberpunk
pov-fpv-case-3	Prompt de acción consistente de un samurái maldito
pov-fpv-case-4	Montaje de fiesta en la piscina Y2K con videocámara
pov-fpv-case-5	Estallido urbano en POV con tarjeta Tesla
pov-fpv-case-6	Secuencia de primeros planos extremos para videoclip de anime
pov-fpv-case-7	Secuencia rápida y fluida de 16 planos
pov-fpv-case-8	Descenso sobre una ciudad de fantasía medieval
pov-fpv-case-9	POV de un cubito de hielo que cae en un vaso de refresco
