action-fantasy-case-1	ストリートラップ MV パフォーマンス
action-fantasy-case-2	黒猫の砂漠武術対決
action-fantasy-case-3	実写版・呼吸法対決
action-fantasy-case-4	20 カットの高速アニメシーケンス
action-fantasy-case-5	油まみれの整備士が修理する様子
action-fantasy-case-6	侍の復讐短編映画
action-fantasy-case-7	スタイライズされた 3D バトルアニメーション
action-fantasy-case-8	テンポの速いコメディパロディ短編
action-fantasy-case-9	巨大忍者の特撮バトル
action-fantasy-case-10	日本アニメの会話シーケンス
action-fantasy-case-11	15 秒のオリジナル元素バトル短編
action-fantasy-case-12	ファベルジェ風ファンタジーエッグのアニメーション
action-fantasy-case-13	オリジナル元素バトル短編
action-fantasy-case-14	映画的な SF ファンタジー対決
action-fantasy-case-15	15 秒連続ワンカット・アクション
action-fantasy-case-16	崖上で対峙する孤高の侍
action-fantasy-case-17	ならず者ドラゴンの空中急降下
action-fantasy-case-18	無重力下のメカ争奪戦
action-fantasy-case-19	ドラゴンに乗る少女の超高速飛行アクション
action-fantasy-case-20	15 秒のオリジナル砂漠武術短編
action-fantasy-case-21	峡谷への空爆シーケンス
action-fantasy-case-22	15 秒の超写実的な戦争大作
action-fantasy-case-23	オフィスのコーヒーブレイクが大惨事に
action-fantasy-case-24	15 秒連続ワンカット・アクション
action-fantasy-case-25	ブラックスワン対ボクサー
action-fantasy-case-26	地面を割って飛び立つスーパーマン
action-fantasy-case-27	雲洞の剣影
action-fantasy-case-28	神々の都 — 東洋幻想のワンカット飛行
action-fantasy-case-29	壮大なファンタジーバトル — 映画的な 10 秒シーケンス
action-fantasy-case-30	ダークファンタジー変身 — 東洋風
action-fantasy-case-31	ワニを燃料ラインへ誘導する川の罠
action-fantasy-case-32	電撃が走る地下闘技場の決闘
action-fantasy-case-33	滑走路で飛行機に引きずられるワニ
action-fantasy-case-34	稲妻ストライカーのアニメゴール
action-fantasy-case-35	野花咲く谷を飛ぶグリフィン
action-fantasy-case-36	モンゴル騎兵のパルティアンショット
action-fantasy-case-37	巨大カエルの飛脚疾走
action-fantasy-case-38	雷の戦士ゾンビ包囲戦
action-fantasy-case-39	白虎の古寺雷雨
action-fantasy-case-40	補給船と巨大ザメ
action-fantasy-case-41	闘技場の女巨人による大逆転
action-fantasy-case-42	倉庫でのボディガード制圧劇
action-fantasy-case-43	北極基地ワーム襲撃
cinematic-realism-case-1	現代日本のドキュメンタリーシーケンス
cinematic-realism-case-2	影を追うロングボードのダウンヒル
cinematic-realism-case-3	隕石で覚醒する戦乙女
