action-fantasy-case-1	街头说唱 MV 表演
action-fantasy-case-2	黑猫沙漠武侠对决
action-fantasy-case-3	真人版呼吸术决斗
action-fantasy-case-4	20 镜高速动画序列
action-fantasy-case-5	观看满手机油的机械师维修
action-fantasy-case-6	武士复仇短片
action-fantasy-case-7	风格化 3D 战斗动画
action-fantasy-case-8	快节奏喜剧恶搞短片
action-fantasy-case-9	巨型忍者特摄大战
action-fantasy-case-10	日式动画对话序列
action-fantasy-case-11	15 秒原创元素大战短片
action-fantasy-case-12	法贝热幻想彩蛋动画
action-fantasy-case-13	原创元素大战短片
action-fantasy-case-14	电影级科幻奇幻对决
action-fantasy-case-15	15 秒连续单镜头动作序列
action-fantasy-case-16	孤独武士悬崖对峙
action-fantasy-case-17	空中游侠俯冲巨龙
action-fantasy-case-18	零重力机甲争夺序列
action-fantasy-case-19	少女骑龙的超高速飞行动作场面
action-fantasy-case-20	15 秒原创沙漠武侠短片
action-fantasy-case-21	峡谷空袭序列
action-fantasy-case-22	15 秒超写实史诗战争大片
action-fantasy-case-23	失控的办公室咖啡休息时间
action-fantasy-case-24	15 秒连续单镜头动作序列
action-fantasy-case-25	黑天鹅对决拳击手
action-fantasy-case-26	地面开裂超人起飞
action-fantasy-case-27	云窟剑影
action-fantasy-case-28	诸神之城——东方奇幻一镜飞行
action-fantasy-case-29	史诗奇幻大战——电影级 10 秒序列
action-fantasy-case-30	暗黑奇幻变身——东方风格
action-fantasy-case-31	鳄鱼燃油管线河道陷阱
action-fantasy-case-32	地下电光竞技场对决
action-fantasy-case-33	鳄鱼跑道拖拽飞机
action-fantasy-case-34	闪电前锋动漫进球
action-fantasy-case-35	野花狮鹫山谷飞行
action-fantasy-case-36	蒙古骑兵回身射箭
cinematic-realism-case-1	现代日本纪录片序列
cinematic-realism-case-2	追逐影子的长板下坡
cinematic-realism-case-3	流星觉醒的战争女英雄
cinematic-realism-case-4	迷雾胶囊岛剧情
cinematic-realism-case-5	风暴悬崖武士现身
cinematic-realism-case-6	VHS 泳池炮弹跳裁判
pov-fpv-case-1	胸前相机迷彩追逐序列
pov-fpv-case-2	上海赛博朋克城市炫剪
pov-fpv-case-3	受诅咒武士一致性动作提示词
pov-fpv-case-4	千禧复古泳池派对摄像机蒙太奇
pov-fpv-case-5	特斯拉卡片视角城市爆发
pov-fpv-case-6	动画 MV 极致特写序列
pov-fpv-case-7	快速无缝 16 镜序列
pov-fpv-case-8	中世纪奇幻城市俯冲
pov-fpv-case-9	冰块落入汽水杯的第一人称视角
pov-fpv-case-10	粗粝原始的手持 35 毫米胶片质感与自然颗粒
pov-fpv-case-11	10 秒照片级真实电影 POV 视频
pov-fpv-case-12	末日后的超未来巨城在风暴中苏醒
pov-fpv-case-13	风格：超写实工业延时摄影
pov-fpv-case-14	怪物袭击中的女学生变身
pov-fpv-case-15	东京第一人称过山车
pov-fpv-case-16	电影级北京文化广告——8K 第一人称
pov-fpv-case-17	极致微距 FPV——仙女翅膀跟拍
pov-fpv-case-18	火山洞穴重力俯冲
pov-fpv-case-19	超音速沙漠峡谷 POV
pov-fpv-case-20	法国烟花 FPV 飞越
commercial-product-case-1	香水广告风动画三人舞台
commercial-product-case-2	暗黑奇幻教堂决斗
commercial-product-case-3	暗黑奇幻神社大殿决斗
commercial-product-case-4	日式零食广告反转笑点
commercial-product-case-5	Seedance 2 电影级武术序列
commercial-product-case-6	日本教室耳语恋情
commercial-product-case-7	LaFerrari 商业广告分镜
commercial-product-case-8	热血动画终极决斗
commercial-product-case-9	瓷艺高级时装天空镜面秀场
commercial-product-case-10	现代乡村创作者丰收广告
commercial-product-case-11	霓虹街头赛车序列
commercial-product-case-12	超模与豪华跑车
commercial-product-case-13	仿生少女实验室破坏追逐
commercial-product-case-14	霓虹废墟城市游戏预告片
commercial-product-case-15	原创暗黑奇幻动作短片
commercial-product-case-16	00:00–00:04 镜头 1：跟拍
commercial-product-case-17	列车顶部战术格斗序列
commercial-product-case-18	曼哈顿交易大厅狂潮
commercial-product-case-19	警匪片风格星期三
commercial-product-case-20	折叠屏手机时尚广告
commercial-product-case-21	旅行箱伙伴蒙太奇
commercial-product-case-22	俯拍时尚型录——换装序列
commercial-product-case-23	高端生活方式广告——自拍视频博客风格
commercial-product-case-24	节拍同步防水运动鞋广告
commercial-product-case-25	山竹精华液产品亮相
commercial-product-case-26	孟买行李箱出租车亮相
reference-driven-case-1	骷髅钢琴家微缩景观表演
reference-driven-case-2	风暴船上的公主对决海怪
reference-driven-case-3	女仆剑舞：芽衣对决可可
reference-driven-case-4	末日屋顶钢琴告别
reference-driven-case-5	电影级 8 毫米鱼眼镜头、FPV 竞速无人机相机与超流畅运动
reference-driven-case-6	参考图驱动的功夫特技序列
reference-driven-case-7	光线追踪、虚幻引擎渲染与暴雨小镇
reference-driven-case-8	月球便利店夜班
reference-driven-case-9	屋顶觉醒并变形成 F-14
reference-driven-case-10	装甲组装街头反击
reference-driven-case-11	角色参考图 1，转为真人实拍风格
reference-driven-case-12	北极熊匹配剪辑剑斗模板
reference-driven-case-13	七图无缝变形序列
reference-driven-case-14	Stridex 运动鞋广告
reference-driven-case-15	带歌唱猫咪的图像驱动提示词
reference-driven-case-16	角色参考动画提示词
reference-driven-case-17	卡通动物实拍化
reference-driven-case-18	锁定分镜参考层级
reference-driven-case-19	VOLTIA 吸能蒙太奇
reference-driven-case-20	克利奥帕特拉宫廷告白
reference-driven-case-21	灯下雨中重逢
surreal-vfx-case-1	零重力武士刀战斗
surreal-vfx-case-2	云中鲸鱼超现实史诗
surreal-vfx-case-3	深渊潜水员变形为海洋生物
surreal-vfx-case-4	跨维度巨城裂隙坍塌
surreal-vfx-case-5	雨夜地下巷道融合
surreal-vfx-case-6	量子现实断裂街头裂隙
surreal-vfx-case-7	眼睛突然睁开
surreal-vfx-case-8	他们在漂浮熔岩河上空相撞
surreal-vfx-case-9	创意总监维度漫步
surreal-vfx-case-10	深渊实体祭坛铭文——暗黑奇幻
surreal-vfx-case-11	悬浮 UI 色轮场景变换
surreal-vfx-case-12	火焰女皇变身序列
surreal-vfx-case-13	沙漠沙巨人变身
surreal-vfx-case-14	逃逸车变身垃圾车
templates-structured-case-1	超级航母灾难性沉没
templates-structured-case-2	记忆碎片重构
templates-structured-case-3	从蓝图到现实——单层住宅变形
templates-structured-case-4	武术高级时装裁缝
templates-structured-case-5	节拍同步换装模板
templates-structured-case-6	舞动摩天楼街区模板
templates-structured-case-7	星光之影／星尘剪影
templates-structured-case-8	绘画风跑酷 POV 模板
templates-structured-case-9	360° 第一人称下坡跑楼梯模板
templates-structured-case-10	食物与角色运动模板
templates-structured-case-11	不可能机位厨房冲刺模板
templates-structured-case-12	时间冻结 POV 爆发模板
templates-structured-case-13	宇航员首次太空行走模板
templates-structured-case-14	金毛犬日常模板
templates-structured-case-15	风格化 3D 理发店变身序列
templates-structured-case-16	印象派划船手部模板
templates-structured-case-17	女战士——结构化主体提示词
general-cinematic-case-1	高跟鞋节拍同步时尚特写
general-cinematic-case-2	儿童卧室里的迷你滑板逃脱
general-cinematic-case-3	洛克公园奶奶对决
general-cinematic-case-4	消防员营救婴儿序列
general-cinematic-case-5	古装变身展示
general-cinematic-case-6	夜晚银座，未来赛博朋克
general-cinematic-case-7	跳虫的故事
general-cinematic-case-8	可疑男子站在涩谷十字路口中央
general-cinematic-case-9	渔船人群手机拍摄
general-cinematic-case-10	少女高速坠入数字隧道
general-cinematic-case-11	晴空塔轨道炮发射序列
general-cinematic-case-12	好莱坞电影预告片
general-cinematic-case-13	电影级竖屏 9:16 序列
general-cinematic-case-14	巨型冰川墙在海滨城市旁坍入峡湾
general-cinematic-case-15	月光下老鼠参与的钢琴追逐
general-cinematic-case-16	15 秒连续单镜头卡通序列
general-cinematic-case-17	日落时的蒸汽朋克飞艇大战
general-cinematic-case-18	人字拖喷气翼跟拍
general-cinematic-case-19	深山古寺外景
general-cinematic-case-20	自由女神像日出分镜
general-cinematic-case-21	戏剧光线下的历史场景
general-cinematic-case-22	火箭冲浪连续跟拍
general-cinematic-case-23	单口喜剧独白模板
general-cinematic-case-24	生日背叛餐厅剧情
general-cinematic-case-25	古代跑酷换装序列
general-cinematic-case-26	发动机内部——活塞机械细节
general-cinematic-case-27	90 年代日式恋爱模拟——赛璐璐动画风
general-cinematic-case-28	电影导演技巧——多镜头提示词
general-cinematic-case-29	东亚女性肖像——自然微笑
general-cinematic-case-30	末日后求生——电影级设定
general-cinematic-case-31	皮克斯森林空地——3D 动画场景
general-cinematic-case-32	小猫躲在被窝里偷吃零食
general-cinematic-case-33	Seedance 2.0 文生视频自然语音测试
general-cinematic-case-34	纸偶恐怖动画
general-cinematic-case-35	红色沙漠摩托车追踪镜头
general-cinematic-case-36	庞贝灾难 DV 纪实画面
