action-fantasy-case-1	Уличное рэп-выступление в музыкальном клипе
action-fantasy-case-2	Поединок чёрного кота в пустыне
action-fantasy-case-3	Дуэль дыхательных техник в игровом кино
action-fantasy-case-4	Скоростная аниме-сцена из 20 монтажных кадров
action-fantasy-case-5	Ремонт в исполнении перепачканного смазкой механика
action-fantasy-case-6	Короткометражка о мести самурая
action-fantasy-case-7	Стилизованная трёхмерная анимация боя
action-fantasy-case-8	Динамичная комедийная пародия
action-fantasy-case-9	Токусацу-битва гигантских ниндзя
action-fantasy-case-10	Диалоговая сцена в японском аниме
action-fantasy-case-11	Оригинальная 15-секундная короткометражка о битве стихий
action-fantasy-case-12	Анимация фантазийного яйца в стиле Фаберже
action-fantasy-case-13	Оригинальная короткометражка о битве стихий
action-fantasy-case-14	Кинематографическая дуэль в жанре научной фантастики и фэнтези
action-fantasy-case-15	Непрерывная 15-секундная экшен-сцена одним кадром
action-fantasy-case-16	Одинокий самурай в противостоянии на утёсе
action-fantasy-case-17	Воздушное пике дракона-изгоя
action-fantasy-case-18	Схватка за меха в невесомости
action-fantasy-case-19	Сверхскоростной полёт девушки верхом на драконе
action-fantasy-case-20	Оригинальная 15-секундная короткометражка о боевых искусствах в пустыне
action-fantasy-case-21	Воздушный удар в каньоне
action-fantasy-case-22	Гиперреалистичный 15-секундный эпический военный блокбастер
action-fantasy-case-23	Неудачный перерыв на кофе в офисе
action-fantasy-case-24	Непрерывная 15-секундная экшен-сцена одним кадром
action-fantasy-case-25	Чёрный лебедь против боксёра
action-fantasy-case-26	Взлёт Супермена сквозь треснувшую землю
action-fantasy-case-27	Тень меча в облачной пещере
action-fantasy-case-28	Город богов — восточный фантазийный полёт одним кадром
action-fantasy-case-29	Эпическая фэнтезийная битва — кинематографическая сцена на 10 секунд
action-fantasy-case-30	Превращение в жанре тёмного фэнтези — восточный стиль
action-fantasy-case-31	Речная ловушка с крокодилом у топливопровода
action-fantasy-case-32	Электрическая дуэль на подземной арене
action-fantasy-case-33	Крокодил тащит самолёт по взлётной полосе
